"","Var1","Var2","Freq","Host","Site"
"71","C3-JM4r-2-2621807","OTU689",1,"Juniperus","mixed"
"72","D3-JM6r-2-2621808","OTU689",1,"Juniperus","mixed"
"73","A8-JM2r-2-2621845","OTU693",0,"Juniperus","mixed"
"74","A9-Q4r-2-2621903","OTU693",0,"Quercus","native"
"75","A10-QM6r-2-2621911","OTU693",0,"Quercus","mixed"
"76","B8-JM1r-2-2621846","OTU693",0,"Juniperus","mixed"
"77","B9-Q3r-2-2621904","OTU693",0,"Quercus","native"
"78","B10-QM5r-2-2621912","OTU693",0,"Quercus","mixed"
"79","C9-Q2r-2-2621905","OTU693",0,"Quercus","native"
"80","C10-QM4r-2-2621913","OTU693",0,"Quercus","mixed"
"81","D8-J5r-2-2621848","OTU693",0,"Juniperus","perturbated"
"82","D9-Q1r-2-2621906","OTU693",0,"Quercus","native"
"83","D10-QM3r-2-2621914","OTU693",0,"Quercus","mixed"
"84","E8-J4r-2-2621849","OTU693",1,"Juniperus","perturbated"
"85","E9-JM5r-2-2621907","OTU693",0,"Juniperus","mixed"
"86","E10-QM2r-2-2621915","OTU693",0,"Quercus","mixed"
"87","F8-J3r-2-2621850","OTU693",0,"Juniperus","perturbated"
"88","F10-QM1r-2-2621916","OTU693",0,"Quercus","mixed"
"89","G8-J2r-2-2621901","OTU693",0,"Juniperus","perturbated"
"90","G10-Q6r-2-2621917","OTU693",0,"Quercus","native"
"91","H8-J1r-2-2621902","OTU693",0,"Juniperus","perturbated"
"92","H10-Q5r-2-2621918","OTU693",0,"Quercus","native"
"93","A3-J6r-2-2621805","OTU693",0,"Juniperus","perturbated"
"94","B3-JM3r-2-2621806","OTU693",0,"Juniperus","mixed"
"95","C3-JM4r-2-2621807","OTU693",0,"Juniperus","mixed"
"96","D3-JM6r-2-2621808","OTU693",0,"Juniperus","mixed"
"97","A8-JM2r-2-2621845","OTU732",1,"Juniperus","mixed"
"98","A9-Q4r-2-2621903","OTU732",0,"Quercus","native"
"99","A10-QM6r-2-2621911","OTU732",0,"Quercus","mixed"
"100","B8-JM1r-2-2621846","OTU732",1,"Juniperus","mixed"
"101","B9-Q3r-2-2621904","OTU732",0,"Quercus","native"
"102","B10-QM5r-2-2621912","OTU732",0,"Quercus","mixed"
"103","C9-Q2r-2-2621905","OTU732",0,"Quercus","native"
"104","C10-QM4r-2-2621913","OTU732",0,"Quercus","mixed"
"105","D8-J5r-2-2621848","OTU732",0,"Juniperus","perturbated"
"106","D9-Q1r-2-2621906","OTU732",0,"Quercus","native"
"107","D10-QM3r-2-2621914","OTU732",0,"Quercus","mixed"
"108","E8-J4r-2-2621849","OTU732",0,"Juniperus","perturbated"
"109","E9-JM5r-2-2621907","OTU732",0,"Juniperus","mixed"
"110","E10-QM2r-2-2621915","OTU732",0,"Quercus","mixed"
"111","F8-J3r-2-2621850","OTU732",0,"Juniperus","perturbated"
"112","F10-QM1r-2-2621916","OTU732",0,"Quercus","mixed"
"113","G8-J2r-2-2621901","OTU732",0,"Juniperus","perturbated"
"114","G10-Q6r-2-2621917","OTU732",0,"Quercus","native"
"115","H8-J1r-2-2621902","OTU732",0,"Juniperus","perturbated"
"116","H10-Q5r-2-2621918","OTU732",0,"Quercus","native"
"117","A3-J6r-2-2621805","OTU732",0,"Juniperus","perturbated"
"118","B3-JM3r-2-2621806","OTU732",0,"Juniperus","mixed"
"119","C3-JM4r-2-2621807","OTU732",0,"Juniperus","mixed"
"120","D3-JM6r-2-2621808","OTU732",0,"Juniperus","mixed"
"121","A8-JM2r-2-2621845","OTU767",0,"Juniperus","mixed"
"122","A9-Q4r-2-2621903","OTU767",0,"Quercus","native"
"123","A10-QM6r-2-2621911","OTU767",0,"Quercus","mixed"
"124","B8-JM1r-2-2621846","OTU767",1,"Juniperus","mixed"
"125","B9-Q3r-2-2621904","OTU767",0,"Quercus","native"
"126","B10-QM5r-2-2621912","OTU767",0,"Quercus","mixed"
"127","C9-Q2r-2-2621905","OTU767",0,"Quercus","native"
"128","C10-QM4r-2-2621913","OTU767",0,"Quercus","mixed"
"129","D8-J5r-2-2621848","OTU767",0,"Juniperus","perturbated"
"130","D9-Q1r-2-2621906","OTU767",0,"Quercus","native"
"131","D10-QM3r-2-2621914","OTU767",0,"Quercus","mixed"
"132","E8-J4r-2-2621849","OTU767",1,"Juniperus","perturbated"
"133","E9-JM5r-2-2621907","OTU767",0,"Juniperus","mixed"
"134","E10-QM2r-2-2621915","OTU767",0,"Quercus","mixed"
"135","F8-J3r-2-2621850","OTU767",0,"Juniperus","perturbated"
"136","F10-QM1r-2-2621916","OTU767",0,"Quercus","mixed"
"137","G8-J2r-2-2621901","OTU767",0,"Juniperus","perturbated"
"138","G10-Q6r-2-2621917","OTU767",0,"Quercus","native"
"139","H8-J1r-2-2621902","OTU767",1,"Juniperus","perturbated"
"140","H10-Q5r-2-2621918","OTU767",0,"Quercus","native"
"141","A3-J6r-2-2621805","OTU767",0,"Juniperus","perturbated"
"142","B3-JM3r-2-2621806","OTU767",0,"Juniperus","mixed"
"143","C3-JM4r-2-2621807","OTU767",0,"Juniperus","mixed"
"144","D3-JM6r-2-2621808","OTU767",0,"Juniperus","mixed"
"145","A8-JM2r-2-2621845","OTU955",0,"Juniperus","mixed"
"146","A9-Q4r-2-2621903","OTU955",0,"Quercus","native"
"147","A10-QM6r-2-2621911","OTU955",0,"Quercus","mixed"
"148","B8-JM1r-2-2621846","OTU955",0,"Juniperus","mixed"
"149","B9-Q3r-2-2621904","OTU955",0,"Quercus","native"
"150","B10-QM5r-2-2621912","OTU955",0,"Quercus","mixed"
"151","C9-Q2r-2-2621905","OTU955",0,"Quercus","native"
"152","C10-QM4r-2-2621913","OTU955",0,"Quercus","mixed"
"153","D8-J5r-2-2621848","OTU955",0,"Juniperus","perturbated"
"154","D9-Q1r-2-2621906","OTU955",0,"Quercus","native"
"155","D10-QM3r-2-2621914","OTU955",0,"Quercus","mixed"
"156","E8-J4r-2-2621849","OTU955",0,"Juniperus","perturbated"
"157","E9-JM5r-2-2621907","OTU955",0,"Juniperus","mixed"
"158","E10-QM2r-2-2621915","OTU955",0,"Quercus","mixed"
"159","F8-J3r-2-2621850","OTU955",0,"Juniperus","perturbated"
"160","F10-QM1r-2-2621916","OTU955",0,"Quercus","mixed"
"161","G8-J2r-2-2621901","OTU955",1,"Juniperus","perturbated"
"162","G10-Q6r-2-2621917","OTU955",0,"Quercus","native"
"163","H8-J1r-2-2621902","OTU955",1,"Juniperus","perturbated"
"164","H10-Q5r-2-2621918","OTU955",0,"Quercus","native"
"165","A3-J6r-2-2621805","OTU955",0,"Juniperus","perturbated"
"166","B3-JM3r-2-2621806","OTU955",1,"Juniperus","mixed"
"167","C3-JM4r-2-2621807","OTU955",0,"Juniperus","mixed"
"168","D3-JM6r-2-2621808","OTU955",0,"Juniperus","mixed"
"169","A8-JM2r-2-2621845","OTU962",0,"Juniperus","mixed"
"170","A9-Q4r-2-2621903","OTU962",0,"Quercus","native"
"171","A10-QM6r-2-2621911","OTU962",0,"Quercus","mixed"
"172","B8-JM1r-2-2621846","OTU962",0,"Juniperus","mixed"
"173","B9-Q3r-2-2621904","OTU962",0,"Quercus","native"
"174","B10-QM5r-2-2621912","OTU962",0,"Quercus","mixed"
"175","C9-Q2r-2-2621905","OTU962",0,"Quercus","native"
"176","C10-QM4r-2-2621913","OTU962",0,"Quercus","mixed"
"177","D8-J5r-2-2621848","OTU962",0,"Juniperus","perturbated"
"178","D9-Q1r-2-2621906","OTU962",0,"Quercus","native"
"179","D10-QM3r-2-2621914","OTU962",0,"Quercus","mixed"
"180","E8-J4r-2-2621849","OTU962",1,"Juniperus","perturbated"
"181","E9-JM5r-2-2621907","OTU962",0,"Juniperus","mixed"
"182","E10-QM2r-2-2621915","OTU962",0,"Quercus","mixed"
"183","F8-J3r-2-2621850","OTU962",0,"Juniperus","perturbated"
"184","F10-QM1r-2-2621916","OTU962",0,"Quercus","mixed"
"185","G8-J2r-2-2621901","OTU962",0,"Juniperus","perturbated"
"186","G10-Q6r-2-2621917","OTU962",0,"Quercus","native"
"187","H8-J1r-2-2621902","OTU962",0,"Juniperus","perturbated"
"188","H10-Q5r-2-2621918","OTU962",0,"Quercus","native"
"189","A3-J6r-2-2621805","OTU962",0,"Juniperus","perturbated"
"190","B3-JM3r-2-2621806","OTU962",0,"Juniperus","mixed"
"191","C3-JM4r-2-2621807","OTU962",1,"Juniperus","mixed"
"192","D3-JM6r-2-2621808","OTU962",1,"Juniperus","mixed"
"193","A8-JM2r-2-2621845","OTU991",0,"Juniperus","mixed"
"194","A9-Q4r-2-2621903","OTU991",0,"Quercus","native"
"195","A10-QM6r-2-2621911","OTU991",0,"Quercus","mixed"
"196","B8-JM1r-2-2621846","OTU991",0,"Juniperus","mixed"
"197","B9-Q3r-2-2621904","OTU991",0,"Quercus","native"
"198","B10-QM5r-2-2621912","OTU991",0,"Quercus","mixed"
"199","C9-Q2r-2-2621905","OTU991",0,"Quercus","native"
"200","C10-QM4r-2-2621913","OTU991",0,"Quercus","mixed"
"201","D8-J5r-2-2621848","OTU991",1,"Juniperus","perturbated"
"202","D9-Q1r-2-2621906","OTU991",0,"Quercus","native"
"203","D10-QM3r-2-2621914","OTU991",0,"Quercus","mixed"
"204","E8-J4r-2-2621849","OTU991",0,"Juniperus","perturbated"
"205","E9-JM5r-2-2621907","OTU991",1,"Juniperus","mixed"
"206","E10-QM2r-2-2621915","OTU991",0,"Quercus","mixed"
"207","F8-J3r-2-2621850","OTU991",1,"Juniperus","perturbated"
"208","F10-QM1r-2-2621916","OTU991",0,"Quercus","mixed"
"209","G8-J2r-2-2621901","OTU991",0,"Juniperus","perturbated"
"210","G10-Q6r-2-2621917","OTU991",0,"Quercus","native"
"211","H8-J1r-2-2621902","OTU991",0,"Juniperus","perturbated"
"212","H10-Q5r-2-2621918","OTU991",0,"Quercus","native"
"213","A3-J6r-2-2621805","OTU991",0,"Juniperus","perturbated"
"214","B3-JM3r-2-2621806","OTU991",0,"Juniperus","mixed"
"215","C3-JM4r-2-2621807","OTU991",1,"Juniperus","mixed"
"216","D3-JM6r-2-2621808","OTU991",0,"Juniperus","mixed"
"217","A8-JM2r-2-2621845","OTU1030",0,"Juniperus","mixed"
"218","A9-Q4r-2-2621903","OTU1030",0,"Quercus","native"
"219","A10-QM6r-2-2621911","OTU1030",0,"Quercus","mixed"
"220","B8-JM1r-2-2621846","OTU1030",0,"Juniperus","mixed"
"221","B9-Q3r-2-2621904","OTU1030",0,"Quercus","native"
"222","B10-QM5r-2-2621912","OTU1030",0,"Quercus","mixed"
"223","C9-Q2r-2-2621905","OTU1030",0,"Quercus","native"
"224","C10-QM4r-2-2621913","OTU1030",0,"Quercus","mixed"
"225","D8-J5r-2-2621848","OTU1030",0,"Juniperus","perturbated"
"226","D9-Q1r-2-2621906","OTU1030",0,"Quercus","native"
"227","D10-QM3r-2-2621914","OTU1030",0,"Quercus","mixed"
"228","E8-J4r-2-2621849","OTU1030",0,"Juniperus","perturbated"
"229","E9-JM5r-2-2621907","OTU1030",0,"Juniperus","mixed"
"230","E10-QM2r-2-2621915","OTU1030",0,"Quercus","mixed"
"231","F8-J3r-2-2621850","OTU1030",0,"Juniperus","perturbated"
"232","F10-QM1r-2-2621916","OTU1030",0,"Quercus","mixed"
"233","G8-J2r-2-2621901","OTU1030",1,"Juniperus","perturbated"
"234","G10-Q6r-2-2621917","OTU1030",0,"Quercus","native"
"235","H8-J1r-2-2621902","OTU1030",0,"Juniperus","perturbated"
"236","H10-Q5r-2-2621918","OTU1030",0,"Quercus","native"
"237","A3-J6r-2-2621805","OTU1030",0,"Juniperus","perturbated"
"238","B3-JM3r-2-2621806","OTU1030",0,"Juniperus","mixed"
"239","C3-JM4r-2-2621807","OTU1030",1,"Juniperus","mixed"
"240","D3-JM6r-2-2621808","OTU1030",0,"Juniperus","mixed"
"241","A8-JM2r-2-2621845","OTU1099",0,"Juniperus","mixed"
"242","A9-Q4r-2-2621903","OTU1099",0,"Quercus","native"
"243","A10-QM6r-2-2621911","OTU1099",0,"Quercus","mixed"
"244","B8-JM1r-2-2621846","OTU1099",0,"Juniperus","mixed"
"245","B9-Q3r-2-2621904","OTU1099",0,"Quercus","native"
"246","B10-QM5r-2-2621912","OTU1099",0,"Quercus","mixed"
"247","C9-Q2r-2-2621905","OTU1099",0,"Quercus","native"
"248","C10-QM4r-2-2621913","OTU1099",0,"Quercus","mixed"
"249","D8-J5r-2-2621848","OTU1099",0,"Juniperus","perturbated"
"250","D9-Q1r-2-2621906","OTU1099",0,"Quercus","native"
"251","D10-QM3r-2-2621914","OTU1099",0,"Quercus","mixed"
"252","E8-J4r-2-2621849","OTU1099",1,"Juniperus","perturbated"
"253","E9-JM5r-2-2621907","OTU1099",0,"Juniperus","mixed"
"254","E10-QM2r-2-2621915","OTU1099",0,"Quercus","mixed"
"255","F8-J3r-2-2621850","OTU1099",0,"Juniperus","perturbated"
"256","F10-QM1r-2-2621916","OTU1099",0,"Quercus","mixed"
"257","G8-J2r-2-2621901","OTU1099",1,"Juniperus","perturbated"
"258","G10-Q6r-2-2621917","OTU1099",0,"Quercus","native"
"259","H8-J1r-2-2621902","OTU1099",0,"Juniperus","perturbated"
"260","H10-Q5r-2-2621918","OTU1099",0,"Quercus","native"
"261","A3-J6r-2-2621805","OTU1099",0,"Juniperus","perturbated"
"262","B3-JM3r-2-2621806","OTU1099",1,"Juniperus","mixed"
"263","C3-JM4r-2-2621807","OTU1099",0,"Juniperus","mixed"
"264","D3-JM6r-2-2621808","OTU1099",0,"Juniperus","mixed"
"265","A8-JM2r-2-2621845","OTU1106",0,"Juniperus","mixed"
"266","A9-Q4r-2-2621903","OTU1106",0,"Quercus","native"
"267","A10-QM6r-2-2621911","OTU1106",0,"Quercus","mixed"
"268","B8-JM1r-2-2621846","OTU1106",1,"Juniperus","mixed"
"269","B9-Q3r-2-2621904","OTU1106",0,"Quercus","native"
"270","B10-QM5r-2-2621912","OTU1106",0,"Quercus","mixed"
"271","C9-Q2r-2-2621905","OTU1106",0,"Quercus","native"
"272","C10-QM4r-2-2621913","OTU1106",0,"Quercus","mixed"
"273","D8-J5r-2-2621848","OTU1106",0,"Juniperus","perturbated"
"274","D9-Q1r-2-2621906","OTU1106",0,"Quercus","native"
"275","D10-QM3r-2-2621914","OTU1106",0,"Quercus","mixed"
"276","E8-J4r-2-2621849","OTU1106",0,"Juniperus","perturbated"
"277","E9-JM5r-2-2621907","OTU1106",0,"Juniperus","mixed"
"278","E10-QM2r-2-2621915","OTU1106",0,"Quercus","mixed"
"279","F8-J3r-2-2621850","OTU1106",0,"Juniperus","perturbated"
"280","F10-QM1r-2-2621916","OTU1106",0,"Quercus","mixed"
"281","G8-J2r-2-2621901","OTU1106",0,"Juniperus","perturbated"
"282","G10-Q6r-2-2621917","OTU1106",0,"Quercus","native"
"283","H8-J1r-2-2621902","OTU1106",1,"Juniperus","perturbated"
"284","H10-Q5r-2-2621918","OTU1106",0,"Quercus","native"
"285","A3-J6r-2-2621805","OTU1106",0,"Juniperus","perturbated"
"286","B3-JM3r-2-2621806","OTU1106",0,"Juniperus","mixed"
"287","C3-JM4r-2-2621807","OTU1106",0,"Juniperus","mixed"
"288","D3-JM6r-2-2621808","OTU1106",0,"Juniperus","mixed"
"289","A8-JM2r-2-2621845","OTU1117",0,"Juniperus","mixed"
"290","A9-Q4r-2-2621903","OTU1117",0,"Quercus","native"
"291","A10-QM6r-2-2621911","OTU1117",0,"Quercus","mixed"
"292","B8-JM1r-2-2621846","OTU1117",0,"Juniperus","mixed"
"293","B9-Q3r-2-2621904","OTU1117",0,"Quercus","native"
"294","B10-QM5r-2-2621912","OTU1117",0,"Quercus","mixed"
"295","C9-Q2r-2-2621905","OTU1117",0,"Quercus","native"
"296","C10-QM4r-2-2621913","OTU1117",0,"Quercus","mixed"
"297","D8-J5r-2-2621848","OTU1117",0,"Juniperus","perturbated"
"298","D9-Q1r-2-2621906","OTU1117",0,"Quercus","native"
"299","D10-QM3r-2-2621914","OTU1117",0,"Quercus","mixed"
"300","E8-J4r-2-2621849","OTU1117",1,"Juniperus","perturbated"
"301","E9-JM5r-2-2621907","OTU1117",0,"Juniperus","mixed"
"302","E10-QM2r-2-2621915","OTU1117",0,"Quercus","mixed"
"303","F8-J3r-2-2621850","OTU1117",0,"Juniperus","perturbated"
"304","F10-QM1r-2-2621916","OTU1117",0,"Quercus","mixed"
"305","G8-J2r-2-2621901","OTU1117",0,"Juniperus","perturbated"
"306","G10-Q6r-2-2621917","OTU1117",0,"Quercus","native"
"307","H8-J1r-2-2621902","OTU1117",0,"Juniperus","perturbated"
"308","H10-Q5r-2-2621918","OTU1117",0,"Quercus","native"
"309","A3-J6r-2-2621805","OTU1117",0,"Juniperus","perturbated"
"310","B3-JM3r-2-2621806","OTU1117",0,"Juniperus","mixed"
"311","C3-JM4r-2-2621807","OTU1117",1,"Juniperus","mixed"
"312","D3-JM6r-2-2621808","OTU1117",0,"Juniperus","mixed"
"313","A8-JM2r-2-2621845","OTU1170",0,"Juniperus","mixed"
"314","A9-Q4r-2-2621903","OTU1170",0,"Quercus","native"
"315","A10-QM6r-2-2621911","OTU1170",0,"Quercus","mixed"
"316","B8-JM1r-2-2621846","OTU1170",0,"Juniperus","mixed"
"317","B9-Q3r-2-2621904","OTU1170",0,"Quercus","native"
"318","B10-QM5r-2-2621912","OTU1170",0,"Quercus","mixed"
"319","C9-Q2r-2-2621905","OTU1170",0,"Quercus","native"
"320","C10-QM4r-2-2621913","OTU1170",0,"Quercus","mixed"
"321","D8-J5r-2-2621848","OTU1170",1,"Juniperus","perturbated"
"322","D9-Q1r-2-2621906","OTU1170",0,"Quercus","native"
"323","D10-QM3r-2-2621914","OTU1170",0,"Quercus","mixed"
"324","E8-J4r-2-2621849","OTU1170",0,"Juniperus","perturbated"
"325","E9-JM5r-2-2621907","OTU1170",0,"Juniperus","mixed"
"326","E10-QM2r-2-2621915","OTU1170",0,"Quercus","mixed"
"327","F8-J3r-2-2621850","OTU1170",0,"Juniperus","perturbated"
"328","F10-QM1r-2-2621916","OTU1170",0,"Quercus","mixed"
"329","G8-J2r-2-2621901","OTU1170",0,"Juniperus","perturbated"
"330","G10-Q6r-2-2621917","OTU1170",0,"Quercus","native"
"331","H8-J1r-2-2621902","OTU1170",0,"Juniperus","perturbated"
"332","H10-Q5r-2-2621918","OTU1170",0,"Quercus","native"
"333","A3-J6r-2-2621805","OTU1170",0,"Juniperus","perturbated"
"334","B3-JM3r-2-2621806","OTU1170",0,"Juniperus","mixed"
"335","C3-JM4r-2-2621807","OTU1170",0,"Juniperus","mixed"
"336","D3-JM6r-2-2621808","OTU1170",1,"Juniperus","mixed"
"337","A8-JM2r-2-2621845","OTU1204",0,"Juniperus","mixed"
"338","A9-Q4r-2-2621903","OTU1204",0,"Quercus","native"
"339","A10-QM6r-2-2621911","OTU1204",0,"Quercus","mixed"
"340","B8-JM1r-2-2621846","OTU1204",0,"Juniperus","mixed"
"341","B9-Q3r-2-2621904","OTU1204",0,"Quercus","native"
"342","B10-QM5r-2-2621912","OTU1204",0,"Quercus","mixed"
"343","C9-Q2r-2-2621905","OTU1204",0,"Quercus","native"
"344","C10-QM4r-2-2621913","OTU1204",0,"Quercus","mixed"
"345","D8-J5r-2-2621848","OTU1204",0,"Juniperus","perturbated"
"346","D9-Q1r-2-2621906","OTU1204",0,"Quercus","native"
"347","D10-QM3r-2-2621914","OTU1204",0,"Quercus","mixed"
"348","E8-J4r-2-2621849","OTU1204",0,"Juniperus","perturbated"
"349","E9-JM5r-2-2621907","OTU1204",0,"Juniperus","mixed"
"350","E10-QM2r-2-2621915","OTU1204",0,"Quercus","mixed"
"351","F8-J3r-2-2621850","OTU1204",1,"Juniperus","perturbated"
"352","F10-QM1r-2-2621916","OTU1204",0,"Quercus","mixed"
"353","G8-J2r-2-2621901","OTU1204",0,"Juniperus","perturbated"
"354","G10-Q6r-2-2621917","OTU1204",0,"Quercus","native"
"355","H8-J1r-2-2621902","OTU1204",0,"Juniperus","perturbated"
"356","H10-Q5r-2-2621918","OTU1204",0,"Quercus","native"
"357","A3-J6r-2-2621805","OTU1204",0,"Juniperus","perturbated"
"358","B3-JM3r-2-2621806","OTU1204",0,"Juniperus","mixed"
"359","C3-JM4r-2-2621807","OTU1204",0,"Juniperus","mixed"
"360","D3-JM6r-2-2621808","OTU1204",0,"Juniperus","mixed"
"361","A8-JM2r-2-2621845","OTU1207",0,"Juniperus","mixed"
"362","A9-Q4r-2-2621903","OTU1207",0,"Quercus","native"
"363","A10-QM6r-2-2621911","OTU1207",0,"Quercus","mixed"
"364","B8-JM1r-2-2621846","OTU1207",0,"Juniperus","mixed"
"365","B9-Q3r-2-2621904","OTU1207",0,"Quercus","native"
"366","B10-QM5r-2-2621912","OTU1207",0,"Quercus","mixed"
"367","C9-Q2r-2-2621905","OTU1207",0,"Quercus","native"
"368","C10-QM4r-2-2621913","OTU1207",0,"Quercus","mixed"
"369","D8-J5r-2-2621848","OTU1207",0,"Juniperus","perturbated"
"370","D9-Q1r-2-2621906","OTU1207",0,"Quercus","native"
"371","D10-QM3r-2-2621914","OTU1207",0,"Quercus","mixed"
"372","E8-J4r-2-2621849","OTU1207",1,"Juniperus","perturbated"
"373","E9-JM5r-2-2621907","OTU1207",0,"Juniperus","mixed"
"374","E10-QM2r-2-2621915","OTU1207",0,"Quercus","mixed"
"375","F8-J3r-2-2621850","OTU1207",0,"Juniperus","perturbated"
"376","F10-QM1r-2-2621916","OTU1207",0,"Quercus","mixed"
"377","G8-J2r-2-2621901","OTU1207",1,"Juniperus","perturbated"
"378","G10-Q6r-2-2621917","OTU1207",0,"Quercus","native"
"379","H8-J1r-2-2621902","OTU1207",0,"Juniperus","perturbated"
"380","H10-Q5r-2-2621918","OTU1207",0,"Quercus","native"
"381","A3-J6r-2-2621805","OTU1207",0,"Juniperus","perturbated"
"382","B3-JM3r-2-2621806","OTU1207",0,"Juniperus","mixed"
"383","C3-JM4r-2-2621807","OTU1207",1,"Juniperus","mixed"
"384","D3-JM6r-2-2621808","OTU1207",0,"Juniperus","mixed"
"385","A8-JM2r-2-2621845","OTU1266",0,"Juniperus","mixed"
"386","A9-Q4r-2-2621903","OTU1266",1,"Quercus","native"
"387","A10-QM6r-2-2621911","OTU1266",0,"Quercus","mixed"
"388","B8-JM1r-2-2621846","OTU1266",1,"Juniperus","mixed"
"389","B9-Q3r-2-2621904","OTU1266",0,"Quercus","native"
"390","B10-QM5r-2-2621912","OTU1266",0,"Quercus","mixed"
"391","C9-Q2r-2-2621905","OTU1266",0,"Quercus","native"
"392","C10-QM4r-2-2621913","OTU1266",0,"Quercus","mixed"
"393","D8-J5r-2-2621848","OTU1266",0,"Juniperus","perturbated"
